sku,location_id,window_index,category,climate_zone,date_start,date_end,quantity_sold,prediction,raw_prediction,baseline_prediction,avg_daily_sales,zero_sales_share,cv_demand,demand_segment,is_weather_sensitive_category,stockout_days,weather_spike_days,cold_snap_days,heatwave_days,starting_stock,baseline_units,weather_trigger_days,actual_spike,predicted_spike,rank_score,ranked_alert,stockout_risk_actual,stockout_risk_predicted,action_alert,true_positive_alert,false_positive_alert,false_negative_alert,potential_stockout_units,predicted_shortage_units,stockout_units_flagged,unnecessary_order_units_proxy
PEU-AC-REFILL,CZ_PRG,0,ac_cooling,Central,2025-11-17,2025-12-07,60,59.41773484533361,59.41773484533361,65.0,7.088091353996737,0.0,0.7973700050574203,high_volume,True,0,0,0,0,,65.0,0,0,0,5.59474001011484,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,CZ_PRG,1,ac_cooling,Central,2025-12-08,2025-12-28,56,55.16112191314036,55.16112191314036,59.67857142857143,7.088091353996737,0.0,0.7973700050574203,high_volume,True,0,21,0,0,,59.67857142857143,21,0,0,58.09474001011484,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,CZ_PRG,2,ac_cooling,Central,2025-12-29,2025-12-31,9,8.7922543275142,8.7922543275142,8.428571428571429,7.088091353996737,0.0,0.7973700050574203,high_volume,True,0,3,0,0,,8.428571428571429,3,0,0,13.822105808000384,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DE_BER,0,ac_cooling,Central,2025-11-17,2025-12-07,64,60.83800546823764,60.83800546823764,68.78571428571429,7.536704730831974,0.0,0.787208937994486,high_volume,True,0,1,0,0,,68.78571428571429,1,0,0,8.074417875988972,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DE_BER,1,ac_cooling,Central,2025-12-08,2025-12-28,56,55.99296056106595,55.99296056106595,60.85714285714285,7.536704730831974,0.0,0.787208937994486,high_volume,True,0,8,0,0,,60.85714285714285,8,0,0,25.57441787598897,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DE_BER,2,ac_cooling,Central,2025-12-29,2025-12-31,8,8.843946236476013,8.843946236476013,8.321428571428571,7.536704730831974,0.0,0.787208937994486,high_volume,True,0,3,0,0,,8.321428571428571,3,0,0,14.119453206083856,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DK_CPH,0,ac_cooling,North_Central,2025-11-17,2025-12-07,62,59.23024727732265,59.23024727732265,64.67857142857143,7.208809135399674,0.0,0.7648954187022998,high_volume,True,0,1,0,0,,64.67857142857143,1,0,0,8.0297908374046,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DK_CPH,1,ac_cooling,North_Central,2025-12-08,2025-12-28,57,56.38991491995555,56.38991491995555,60.57142857142857,7.208809135399674,0.0,0.7648954187022998,high_volume,True,0,0,0,0,,60.57142857142857,0,0,0,5.529790837404599,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,DK_CPH,2,ac_cooling,North_Central,2025-12-29,2025-12-31,9,8.864825443040864,8.864825443040864,8.392857142857142,7.208809135399674,0.0,0.7648954187022998,high_volume,True,0,2,0,0,,8.392857142857142,2,0,0,11.473727437772045,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,EE_TLL,0,ac_cooling,Nordic,2025-11-17,2025-12-07,63,62.36197463841806,62.36197463841806,67.42857142857143,7.66231647634584,0.0,0.76159565942544,high_volume,True,0,21,9,0,,67.42857142857143,30,0,0,80.52319131885088,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,EE_TLL,1,ac_cooling,Nordic,2025-12-08,2025-12-28,56,58.57199782345573,58.57199782345573,60.57142857142857,7.66231647634584,0.0,0.76159565942544,high_volume,True,0,21,21,0,,60.57142857142857,42,0,0,110.52319131885088,1,0,0,1,0,1,0,0.0,0.0,0.0,2.571997823455732
PEU-AC-REFILL,EE_TLL,2,ac_cooling,Nordic,2025-12-29,2025-12-31,8,9.132940654218238,9.132940654218238,8.357142857142858,7.66231647634584,0.0,0.76159565942544,high_volume,True,0,3,3,0,,8.357142857142858,6,0,0,22.07478691300164,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,ES_MAD,0,ac_cooling,South,2025-11-17,2025-12-07,58,59.868128058784514,59.868128058784514,62.75,10.280587275693312,0.0,0.8818738315290018,high_volume,True,0,0,0,0,,62.75,0,0,0,5.763747663058004,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,ES_MAD,1,ac_cooling,South,2025-12-08,2025-12-28,52,54.786264152366215,54.786264152366215,55.42857142857143,10.280587275693312,0.0,0.8818738315290018,high_volume,True,0,0,0,0,,55.42857142857143,0,0,0,5.763747663058004,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,ES_MAD,2,ac_cooling,South,2025-12-29,2025-12-31,8,8.893025536474177,8.893025536474177,7.75,10.280587275693312,0.0,0.8818738315290018,high_volume,True,0,0,0,0,,7.75,0,0,0,8.049798736006357,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FI_HEL,0,ac_cooling,Nordic,2025-11-17,2025-12-07,67,64.99536523737318,64.99536523737318,73.03571428571428,8.179445350734095,0.0,0.7665358954608825,high_volume,True,0,21,14,0,,73.03571428571428,35,0,0,93.03307179092177,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FI_HEL,1,ac_cooling,Nordic,2025-12-08,2025-12-28,67,61.4122924311261,61.4122924311261,67.21428571428571,8.179445350734095,0.0,0.7665358954608825,high_volume,True,0,21,21,0,,67.21428571428571,42,0,0,110.53307179092177,1,0,0,1,0,1,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FI_HEL,2,ac_cooling,Nordic,2025-12-29,2025-12-31,11,10.21068644576389,10.21068644576389,9.642857142857142,8.179445350734095,0.0,0.7665358954608825,high_volume,True,0,3,3,0,,9.642857142857142,6,0,0,21.668730396735263,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FR_PAR,0,ac_cooling,West,2025-11-17,2025-12-07,63,62.34791784712749,62.34791784712749,70.82142857142857,8.057096247960848,0.0,0.8034908139365228,high_volume,True,0,1,0,0,,70.82142857142857,1,0,0,8.106981627873045,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FR_PAR,1,ac_cooling,West,2025-12-08,2025-12-28,64,58.241522429539344,58.241522429539344,64.60714285714286,8.057096247960848,0.0,0.8034908139365228,high_volume,True,0,0,0,0,,64.60714285714286,0,0,0,5.606981627873045,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,FR_PAR,2,ac_cooling,West,2025-12-29,2025-12-31,11,9.29382404084443,9.29382404084443,9.25,8.057096247960848,0.0,0.8034908139365228,high_volume,True,0,0,0,0,,9.25,0,0,0,5.694629709561907,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,IT_MIL,0,ac_cooling,South,2025-11-17,2025-12-07,65,60.91791254767159,60.91791254767159,65.03571428571429,9.769983686786295,0.0,0.9346060417000452,high_volume,True,0,0,0,0,,65.03571428571429,0,0,0,5.8692120834000905,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,IT_MIL,1,ac_cooling,South,2025-12-08,2025-12-28,55,56.51037508057525,56.51037508057525,61.92857142857143,9.769983686786295,0.0,0.9346060417000452,high_volume,True,0,0,0,0,,61.92857142857143,0,0,0,5.8692120834000905,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,IT_MIL,2,ac_cooling,South,2025-12-29,2025-12-31,10,9.043966308912216,9.043966308912216,8.285714285714285,9.769983686786295,0.0,0.9346060417000452,high_volume,True,0,0,0,0,,8.285714285714285,0,0,0,7.385716129795953,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,NL_AMS,0,ac_cooling,West,2025-11-17,2025-12-07,64,61.64236806383747,61.64236806383747,68.17857142857143,7.491027732463295,0.0,0.7655516805141822,high_volume,True,0,1,0,0,,68.17857142857143,1,0,0,8.031103361028364,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
PEU-AC-REFILL,NL_AMS,1,ac_cooling,West,2025-12-08,2025-12-28,59,57.06995180097119,57.06995180097119,61.642857142857146,7.491027732463295,0.0,0.7655516805141822,high_volume,True,0,0,0,0,,61.642857142857146,0,0,0,5.531103361028364,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
