sku,part_name,location_id,city,climate_zone,month,avg_daily_sales,total_sales,avg_temp_c
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,1,0.22580645161290322,21,2.2376344086021507
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,2,0.21176470588235294,18,-2.3317647058823527
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,3,0.24731182795698925,23,-4.1860215053763445
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,4,0.3333333333333333,30,-3.0155555555555553
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,5,0.6236559139784946,58,2.001075268817204
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,6,0.9777777777777777,88,8.827777777777778
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,7,1.1290322580645162,105,14.770967741935484
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,8,0.7956989247311828,74,20.64731182795699
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,9,0.32222222222222224,29,21.810000000000002
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,10,0.25806451612903225,24,21.043010752688172
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,11,0.23333333333333334,21,15.867777777777777
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,CZ_PRG,Prague,central_continental,12,0.22580645161290322,21,9.53225806451613
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,1,0.2903225806451613,27,3.6655913978494623
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,2,0.36470588235294116,31,-2.0494117647058823
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,3,0.3763440860215054,35,-3.51505376344086
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,4,0.4666666666666667,42,-0.5755555555555555
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,5,1.0,93,1.724731182795699
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,6,1.5444444444444445,139,9.22111111111111
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,7,1.3655913978494623,127,16.455913978494625
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,8,1.7096774193548387,159,21.516129032258064
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,9,0.35555555555555557,32,23.093333333333334
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,10,0.3655913978494624,34,20.683870967741935
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,11,0.36666666666666664,33,16.29111111111111
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DE_BER,Berlin,central_continental,12,0.34408602150537637,32,11.713978494623657
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,1,0.3655913978494624,34,2.90752688172043
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,2,0.3764705882352941,32,-2.0541176470588236
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,3,0.3333333333333333,31,-3.753763440860215
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,4,0.28888888888888886,26,-0.6166666666666667
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,5,0.6129032258064516,57,2.2913978494623657
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,6,0.9888888888888889,89,6.078888888888889
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,7,1.043010752688172,97,13.165591397849463
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,8,1.010752688172043,94,17.49462365591398
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,9,0.2111111111111111,19,19.843333333333334
PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,DK_CPH,Copenhagen,north_maritime,10,0.34408602150537637,32,18.8
