forecast_generated_at_utc,forecast_date,horizon_day,timestamp,sku,part_name,category,seasonality_profile,location_id,city,country_code,climate_zone,predicted_quantity,raw_predicted_quantity,local_guard_prediction,sale_probability,conditional_quantity_if_sale,two_stage_predicted_quantity,prediction_scope,local_calibration_weight,local_calibration_scale,predicted_revenue_eur,temperature_c,temp_change_3d_c,rain_mm,snow_cm,weather_spike_flag,cold_snap_flag,heatwave_flag,is_payday_window,event_type,event_multiplier,segment_name,cluster
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WF-WINTER-5L,Lichid parbriz iarna -20C 5L,winter_fluids,unknown,FI_HEL,Helsinki,Finland,Nordic,46.4303,46.4303,46.4303,1.0,46.9567,46.9567,sku_location_raw_fallback,1.0,1.0,348.23,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,promotion_travel_sensitive,1
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WIPER-650,Stergatoare fata 650mm,wipers,unknown,FI_HEL,Helsinki,Finland,Nordic,11.2565,11.2565,11.2565,1.0,11.6087,11.6087,sku_location_raw_fallback,1.0,1.0,202.62,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-BATT-70AH,Baterie 70Ah AGM/EFB,battery,unknown,FI_HEL,Helsinki,Finland,Nordic,6.9578,6.9578,6.9578,1.0,6.986,6.986,sku_location_raw_fallback,1.0,1.0,1008.88,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-AC-REFILL,Kit incarcare clima R134a/R1234yf,ac_cooling,unknown,FI_HEL,Helsinki,Finland,Nordic,3.1929,3.1929,3.1929,1.0,3.228,3.228,sku_location_raw_fallback,1.0,1.0,124.52,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,summer_heat_sensitive,3
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-CABIN-CARBON,Filtru habitaclu cu carbon,filters,unknown,FI_HEL,Helsinki,Finland,Nordic,6.3907,6.3907,6.3907,1.0,6.4242,6.4242,sku_location_raw_fallback,1.0,1.0,121.42,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-SUMMER-TIRE-205,Anvelopa vara 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,2.0919,2.0919,2.0919,1.0,2.1155,2.1155,sku_location_raw_fallback,1.0,1.0,150.61,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-WINTER-TIRE-205,Anvelopa iarna 205/55R16,tires,unknown,FI_HEL,Helsinki,Finland,Nordic,14.6544,14.6544,14.6544,1.0,14.8786,14.8786,sku_location_raw_fallback,1.0,1.0,1143.05,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,winter_weather_sensitive,4
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-ANTIFREEZE-G12,Antigel G12 concentrat 1L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,11.4977,11.4977,11.4977,1.0,11.8636,11.8636,sku_location_raw_fallback,1.0,1.0,97.73,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-COOLANT-PREMIX,Lichid racire premix 5L,coolant,unknown,FI_HEL,Helsinki,Finland,Nordic,10.2506,10.2506,10.2506,1.0,10.3675,10.3675,sku_location_raw_fallback,1.0,1.0,164.01,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,fast_moving_stable,2
2026-05-12T08:45:37Z,2026-01-01,1,2026-01-01T18:00:00,PEU-OIL-5W30-5L,Ulei motor 5W30 5L,maintenance,unknown,FI_HEL,Helsinki,Finland,Nordic,8.8135,8.8135,8.8135,1.0,9.1948,9.1948,sku_location_raw_fallback,1.0,1.0,370.17,-5.99,0.11,1.33,10.43,0,1,0,0,none,1.0,salary_event_sensitive,0
