timestamp,timestamp_utc,date,location_id,city,country_code,is_payday,is_payday_window,is_holiday,is_school_holiday,event_name,event_type,affected_categories,event_multiplier,promotion_flag,service_campaign_flag
2023-01-01T00:00:00+02:00,2022-12-31T22:00:00+00:00,2023-01-01,FI_HEL,Helsinki,FI,0,0,1,0,new_year_closed,public_holiday,,0.65,0,0
2023-01-24T00:00:00+02:00,2023-01-23T22:00:00+00:00,2023-01-24,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-01-25T00:00:00+02:00,2023-01-24T22:00:00+00:00,2023-01-25,FI_HEL,Helsinki,FI,1,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.1,0,0
2023-01-26T00:00:00+02:00,2023-01-25T22:00:00+00:00,2023-01-26,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-01-30T00:00:00+02:00,2023-01-29T22:00:00+00:00,2023-01-30,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-01-31T00:00:00+02:00,2023-01-30T22:00:00+00:00,2023-01-31,FI_HEL,Helsinki,FI,1,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.1,0,0
2023-02-24T00:00:00+02:00,2023-02-23T22:00:00+00:00,2023-02-24,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-02-25T00:00:00+02:00,2023-02-24T22:00:00+00:00,2023-02-25,FI_HEL,Helsinki,FI,1,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.1,0,0
2023-02-26T00:00:00+02:00,2023-02-25T22:00:00+00:00,2023-02-26,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-02-27T00:00:00+02:00,2023-02-26T22:00:00+00:00,2023-02-27,FI_HEL,Helsinki,FI,0,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.06,0,0
2023-02-28T00:00:00+02:00,2023-02-27T22:00:00+00:00,2023-02-28,FI_HEL,Helsinki,FI,1,1,0,0,salary_window,payday,maintenance|brakes|tires|battery,1.1,0,0
2023-03-15T00:00:00+02:00,2023-03-14T22:00:00+00:00,2023-03-15,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-16T00:00:00+02:00,2023-03-15T22:00:00+00:00,2023-03-16,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-17T00:00:00+02:00,2023-03-16T22:00:00+00:00,2023-03-17,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-18T00:00:00+02:00,2023-03-17T22:00:00+00:00,2023-03-18,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-19T00:00:00+02:00,2023-03-18T22:00:00+00:00,2023-03-19,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-20T00:00:00+02:00,2023-03-19T22:00:00+00:00,2023-03-20,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-21T00:00:00+02:00,2023-03-20T22:00:00+00:00,2023-03-21,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-22T00:00:00+02:00,2023-03-21T22:00:00+00:00,2023-03-22,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-23T00:00:00+02:00,2023-03-22T22:00:00+00:00,2023-03-23,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-24T00:00:00+02:00,2023-03-23T22:00:00+00:00,2023-03-24,FI_HEL,Helsinki,FI,0,1,0,0,salary_window|spring_service_campaign,payday|seasonal_campaign,maintenance|brakes|tires|battery|summer_fluids|filters,1.145,0,1
2023-03-25T00:00:00+02:00,2023-03-24T22:00:00+00:00,2023-03-25,FI_HEL,Helsinki,FI,1,1,0,0,salary_window|spring_service_campaign,payday|seasonal_campaign,maintenance|brakes|tires|battery|summer_fluids|filters,1.188,0,1
2023-03-26T00:00:00+02:00,2023-03-25T22:00:00+00:00,2023-03-26,FI_HEL,Helsinki,FI,0,1,0,0,salary_window|spring_service_campaign,payday|seasonal_campaign,maintenance|brakes|tires|battery|summer_fluids|filters,1.145,0,1
2023-03-27T00:00:00+03:00,2023-03-26T21:00:00+00:00,2023-03-27,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-28T00:00:00+03:00,2023-03-27T21:00:00+00:00,2023-03-28,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-29T00:00:00+03:00,2023-03-28T21:00:00+00:00,2023-03-29,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign,seasonal_campaign,summer_fluids|filters|tires|maintenance,1.08,0,1
2023-03-30T00:00:00+03:00,2023-03-29T21:00:00+00:00,2023-03-30,FI_HEL,Helsinki,FI,0,1,0,0,salary_window|spring_service_campaign,payday|seasonal_campaign,maintenance|brakes|tires|battery|summer_fluids|filters,1.145,0,1
2023-03-31T00:00:00+03:00,2023-03-30T21:00:00+00:00,2023-03-31,FI_HEL,Helsinki,FI,1,1,0,0,salary_window|spring_service_campaign,payday|seasonal_campaign,maintenance|brakes|tires|battery|summer_fluids|filters,1.188,0,1
2023-04-01T00:00:00+03:00,2023-03-31T21:00:00+00:00,2023-04-01,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign|pollen_filter_season,seasonal_campaign|seasonal_demand,summer_fluids|filters|tires|maintenance,1.134,0,1
2023-04-02T00:00:00+03:00,2023-04-01T21:00:00+00:00,2023-04-02,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign|pollen_filter_season,seasonal_campaign|seasonal_demand,summer_fluids|filters|tires|maintenance,1.134,0,1
2023-04-03T00:00:00+03:00,2023-04-02T21:00:00+00:00,2023-04-03,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign|pollen_filter_season,seasonal_campaign|seasonal_demand,summer_fluids|filters|tires|maintenance,1.134,0,1
2023-04-04T00:00:00+03:00,2023-04-03T21:00:00+00:00,2023-04-04,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign|pollen_filter_season,seasonal_campaign|seasonal_demand,summer_fluids|filters|tires|maintenance,1.134,0,1
2023-04-05T00:00:00+03:00,2023-04-04T21:00:00+00:00,2023-04-05,FI_HEL,Helsinki,FI,0,0,0,0,spring_service_campaign|pollen_filter_season,seasonal_campaign|seasonal_demand,summer_fluids|filters|tires|maintenance,1.134,0,1
2023-04-06T00:00:00+03:00,2023-04-05T21:00:00+00:00,2023-04-06,FI_HEL,Helsinki,FI,0,0,0,0,easter_travel_window|spring_service_campaign|pollen_filter_season,holiday_travel|seasonal_campaign|seasonal_demand,maintenance|wipers|brakes|consumables|summer_fluids|filters|tires,1.27,0,1
2023-04-07T00:00:00+03:00,2023-04-06T21:00:00+00:00,2023-04-07,FI_HEL,Helsinki,FI,0,0,0,0,easter_travel_window|spring_service_campaign|pollen_filter_season,holiday_travel|seasonal_campaign|seasonal_demand,maintenance|wipers|brakes|consumables|summer_fluids|filters|tires,1.27,0,1
2023-04-08T00:00:00+03:00,2023-04-07T21:00:00+00:00,2023-04-08,FI_HEL,Helsinki,FI,0,0,0,0,easter_travel_window|spring_service_campaign|pollen_filter_season,holiday_travel|seasonal_campaign|seasonal_demand,maintenance|wipers|brakes|consumables|summer_fluids|filters|tires,1.27,0,1
2023-04-09T00:00:00+03:00,2023-04-08T21:00:00+00:00,2023-04-09,FI_HEL,Helsinki,FI,0,0,1,0,easter_travel_window|spring_service_campaign|pollen_filter_season,holiday_travel|seasonal_campaign|seasonal_demand,maintenance|wipers|brakes|consumables|summer_fluids|filters|tires,1.27,0,1
2023-04-10T00:00:00+03:00,2023-04-09T21:00:00+00:00,2023-04-10,FI_HEL,Helsinki,FI,0,0,1,0,easter_travel_window|spring_service_campaign|pollen_filter_season,holiday_travel|seasonal_campaign|seasonal_demand,maintenance|wipers|brakes|consumables|summer_fluids|filters|tires,1.27,0,1
